“甘普基本变形法则”五大例外中的第一项是什么？,不可能凭空变出美味佳肴
有谁知道，哈利在哪里购买了课本？,丽痕书店
有谁知道，海格养育的小龙叫什么名字？, 诺伯
有谁知道，斯内普教授曾是哪个学院的院长？,斯莱特林
有谁知道，为什么血人巴罗总戴着锁链吗？,内心忏悔
有谁知道哈利·波特的教父是谁？,小天狼星·布莱克
有谁知道血人巴罗是怎么死的？, 自杀
有同学知道伏地魔的母亲叫什么名字吗？,梅洛普
与哈利·波特交好的韦斯莱一家曾居住的房子叫什么？, 陋居
与蛇怪的眼睛对视会发生什么？,死亡
《预言家日报》的主编叫什么？,巴拿巴斯·古费
在比尔和芙蓉的婚礼上，是谁因为卢娜父亲的项链而感到不悦？,威克多尔·克鲁姆
在德拉科·马尔福的帮助下，食死徒通过什么进入了霍格沃茨？, 消失柜
在邓布利多年轻时，曾不幸吃到哪个味道的比比多味豆？,呕吐物味
在反抗调查官乌姆里奇过程中，韦斯莱双子是在什么考试中放的烟花？,O·W·Ls魔咒理论考试
在古灵阁中，哪种物品被用于控制守护重要金库的龙？,丁当片
在国王十字街前往霍格沃茨的火车是几点发车？,十一点
在哈利·波特三年级时，格兰芬多塔的入口画像换成了谁？,卡多根爵士
在哈利·波特上学时期，当密室被打开时，第一位被袭击的学生是谁？,科林·克里维
在哈利的逃亡期间，他收听了一个广播电台是什么？,波特瞭望站
在霍格沃茨，学生能够接受的“普通巫师等级考试”的科目最多是？,12科
在霍格沃茨，由什么来决定新生的学院？,分院帽
在霍格沃茨举办的三强争霸赛第二个项目中，哪个咒语被两位选手同时使用，用以完成比赛？,泡头咒
在霍格沃茨中，成绩等级为A代表什么？,及格
在教黑魔法防御课之前，奇洛教授教什么课？,麻瓜研究
在魁地奇比赛中，找球手抓住金色飞贼，给多少分？,150
在魁地奇世界杯种威克多尔·克鲁姆抓住金色飞贼的战术是什么？,朗斯基假动作
在鲁伯·海格之前的保护神奇动物课教授是谁？,凯特尔伯恩教授
在马尔福庄园，贝拉特里克斯·莱斯特兰奇在赫敏·格兰杰的手臂上写了什么？,泥巴种
在密室，谁治好了哈利被蛇怪咬伤的胳膊？,福克斯
在密室中，凤凰的眼泪解了哪种生物的毒？,蛇怪的毒液
在密室中，是谁把格兰芬多宝剑给哈利的？,凤凰福克斯
在密室中凤凰福克斯给哈利·波特带来了什么？,分院帽
在魔法火焰的灰烬中可以找到什么生物？,火灰蛇
在那个糟糕的学年里，乌姆里奇代理校长是如何离开霍格沃茨的？,被皮皮鬼赶出学校
在七个波特之战中哈利·波特由于施展了什么咒语而被认出？,缴械咒
在三强争霸赛举办那年的魁地奇世界杯的获胜队伍是？,爱尔兰队
在三强争霸赛时，塞德里克·迪戈里告诉了哈利·波特什么的线索？,金蛋
在三强争霸赛中，哈利从黑湖里救出了谁？,罗恩和加布丽·德拉库尔
在三强争霸赛中，是谁告诉了塞德里克·迪戈里如何开启金蛋？,小巴蒂·克劳奇
在三强争霸赛中，谁没有成功救下水下的人质？,芙蓉·德拉库尔
在使用者忘记了一些事情的时候记忆球会变成什么颜色？,红色
在通往魔法石的关卡中，是谁施法设置了一关变形后的巨大棋盘？,米勒娃·麦格
在巫师棋对决中，罗恩·韦斯莱被哪种棋子击中了？,皇后
在巫师世界，龙属于高危险性魔法生物，鲁伯·海格得到火龙蛋的方式是？,酒馆赢得的
在小汉格顿的墓地中，塞德里克·迪戈里向哈利提出的最后一个请求是什么？,把他的尸体带给他的父母
在与伏地魔的战斗中，是谁的妈妈协助哈利·波特制造了假死的假象，骗过了所有人？,德拉科·马尔福
在与伏地魔的最后决战中，谁面对伏地魔时谎称哈利·波特死了？,纳西莎·马尔福
在最后的大战中，谁去密室拿了蛇怪的牙齿？,赫敏和罗恩
在座有魁地奇爱好者吗？考考你，哈利的第一把扫帚是什么型号？,光轮2000
炸尾螺是火螃蟹和什么生物的杂交后代？,人头狮身蝎尾兽
占卜课课本是下列中哪一本？,《拨开迷雾看未来》
占卜者温德林因为喜欢被火焰焚烧一共故意被逮捕了多少次？,47次
照妖镜的作用？,显示你的敌人正在逼近
直到20世纪30年代仍是“真正纯血统”的英国巫师家族有几个？,28
知名的魁地奇世界杯选手维克多·克鲁姆是哪个国家代表队的？,保加利亚队
众所周知，皮皮鬼最怕哪个幽灵？,血人巴罗
最初和最终，哈利乘坐什么交通工具来到及离开女贞路4号的？, 小天狼星·布莱克的摩托车
最后大决战中，哈利·波特在哪里陷入假死？,禁林
最后一个被摧毁的魂器是什么？,纳吉尼
最终，邓布利多教授被杀害的地方是哪里？,天文塔
魔法石所在的金库是几号？,713号
莉莉·伊万斯的守护神和以下谁的一样？,西弗勒斯·斯内普
谁终结了邓布利多教授的生命？,斯内普教授
在火车上，罗恩告诉哈利他差不多有多少张巧克力蛙画片了？,大约五百张
纽特撰写的《神奇动物在哪里》由哪个出版社出版？,默默然出版社
如何进入魔法部？,把自己从马桶里冲走
促使哈利，罗恩和赫敏成为好友的事件是？,万圣节巨怪事件
麦格教授丈夫的名字是什么？,埃尔芬斯通·厄克特
金妮·韦斯莱的守护神是什么动物？,马
在格林德沃的集会上，纽特·斯卡曼德的哪只神奇动物偷走了血盟？,嗅嗅
在洛夫古德家中被食死徒追杀时，赫敏对谢诺菲留斯实施了什么咒语？,一忘皆空
最初是谁发现了哈利·波特是一名天生的魁地奇选手？,米勒娃·麦格
老魔杖倒数第二个主人是谁？,德拉科·马尔福
快乐咒是哈利在几年级学到的？,三年级
哈利·波特的小儿子阿不思·西弗勒斯·波特被分到了哪个学院？,斯莱特林
按住打人柳的什么部位？，它会静止不动？,树干上的结疤
哪个不是哈利·波特在洛哈特教授课上被迫扮演的角色？,一个家养小精灵
三强争霸赛几年举行一次？,5
纽特曾在什么地方发现神奇动物驺吾？,马戏团
吉德罗·洛哈特教授的秘密抱负是什么？,销售自己的美发产品
一年级三人组前往保护魔法石时，是谁拦住了他们？,纳威·隆巴顿
哈利第一次吃巧克力蛙时罗恩说他大约有多少张巧克力蛙卡片？,500张
三强争霸赛上，哈利·波特在第二轮获得了第几名？,2
魔法石的制造者尼可·勒梅就读于哪所魔法学校？,布斯巴顿
赫敏·格兰杰三人第一次配置复方汤剂花了多长时间？,一个月
哈利·波特第一次见到尼法朵拉·唐克斯时，她的头发是什么颜色？,紫罗兰色
霍格沃兹通往霍格莫德村隐秘通道的口令是什么？,左右分离
德拉科·马尔福的魔杖材质是什么？,山楂木
霍格沃兹主楼内会转动的楼梯是以下哪位学院创始人的杰作？,罗伊纳·拉文克劳
斯内普的私人储藏室曾被闯入三次，请选出其中一次。小巴蒂·克劳奇偷复方汤剂材料,
哈利·波特第一次来到古灵阁时，带领他们去金库的妖精是谁？,拉环
1918年，纽特·斯卡曼德受哪家公司委托撰写了《神奇动物在哪里》？,默默然图书公司
哈利·波特的伤疤在他身体的哪个部位？,右额
三强争霸赛第一关，谁给了哈利波特10分？,卢多·巴格曼
“石墩出动”咒语的正确拼写是？,Piertotum Locomotor
是谁在湖边击退摄魂怪解救哈利·波特？,哈利·波特
卢娜·洛夫古德的丈夫是谁？,罗夫·斯卡曼德
哈利·波特用什么摧毁了伏地魔的日记本？,蛇怪的毒牙
哈利将谁的袜子夹在书里被卢修斯·马尔福送给了多比？,哈利·波特
以下谁没有当过级长？,哈利·波特
哈利·波特第一次去海格家吃了什么？,岩皮饼
多洛雷斯·乌姆里奇戴的吊坠盒上的“S”被她称为？,塞尔温家族
哈利第一次去陋居，搭乘的是什么交通工具？,施了魔法的汽车
赫奇帕奇学院的谁被开除过？,纽特·斯卡曼德
不可饶恕咒不包括以下哪一个咒语？,一忘皆空
韦斯莱先生对韦斯莱太太的爱称是什么？,莫丽小颤颤
霍格沃兹史上最不受欢迎的校长是哪位？,菲尼亚斯·布莱克
在1996年神秘事务司大战中，赫敏被哪个食死徒重伤并且差点死掉？,安东宁·多洛霍夫
"""混血王子""在他的魔药课本上曾提出瞌睡豆如何处理更容易出汁？,用银短刀的侧面挤压",
随意敲击赫奇帕奇公共休息室门口的大桶会如何？,被淋一身醋
韦斯莱双胞胎用药水成功把名字放进火焰杯后发生了什么？,他们变老了
霍格莫德的创建者是谁？,汉吉斯
阿不思·邓布利多在厄里斯魔镜中究竟看到了什么？,年轻的格林德沃
用干酪制作坩埚的巫师是谁？,汉弗莱·贝尔切
哈利的孩子有几个？,3
哈利·波特在三强争霸赛带回了谁的尸体？,塞德里克·迪戈里
哈利·波特二年级时无法进入九又四分之三车站是因为谁？,小精灵多比
纽特·斯卡曼德的那只护树罗锅叫什么名字？,皮克特
阿不思·邓布利多对哈利·波特说他在魔镜里看到了什么？,羊毛袜
去霍格莫德村有什么前提？,有监护人许可
邓布利多和格林德沃曾在哪里结下血盟？,谷仓
以下哪个不是伏地魔复活魔药所需要的药材？,自身的毛发
小天狼星·布莱克在阿兹卡班监狱关了几年？,12年
米布米宝据推测产自哪里？,亚述
谁是第一个成功制作出魂器的巫师？,卑鄙的海尔波
小天狼星的母亲叫什么？,沃尔布加·布莱克
以下哪种魔法生物被认为是虚构的？,泡泡鼻涕怪
邓布利多将什么遗赠给赫敏？,《诗翁彼豆故事集》
奥利凡德家族从什么时候开始制作魔杖？,公元前382年
试图和罗恩立牢不可破誓言，被打得左半拉屁股从此不一样的是谁？,弗雷德
多比没有用什么手段阻止哈利返校？,囚禁哈利波特
傲罗考试中，尼法朵·拉唐克斯最擅长的是哪一项？,隐藏和伪装
小天狼星布莱克的魔杖是什么材质？,橡树
霍格沃茨校门口的两个石像是什么？,带有翅膀的野猪
霍格沃茨城堡有些楼梯每逢周几会通向不同的地方？,周五
以下哪种魔药材料是在月光下的禁林中才能采集到的？,流液草
雷古勒斯·布莱克死后变成了什么？,阴尸
韦斯莱双胞胎的守护神是什么？,喜鹊
哈利·波特被乌姆里奇惩罚抄写时用的墨水是？,自己的血
莫特拉鼠汁的主要用途是什么？,治疗伤口
小天狼星的魔杖是什么材质的？,橡树
韦斯莱家族中的双胞胎兄弟出生于哪个节日？,愚人节
历史上谁没有从阿兹卡班越狱过？,伊戈尔·卡卡洛夫
下列哪个不是哈利·波特在魔药课上闻迷情剂时闻到的味道？,雨后的泥土
哈利曾把什么道具放在了麻瓜出身登记委员会主任办公室门口引起了骚乱？,诱饵炸弹
哈利和赫敏第一次穿梭时空在哪里？,校医院
谁在魔法部出口抓住了赫敏并进入了格里莫广场12号的门口？,亚克斯利
波特家族曾经的家族产业是什么？,护发药水
小矮星彼得缺少的是哪根指头？,右手食指
哈利·波特四年级时进入校长室的口令是？,蟑螂堆/串
家养小精灵多比所穿的衣服是？,枕套
德拉科·马尔福在消失柜里藏过什么？,小鸟
邓布利多教授的鼻子看起来断了几次？,至少两次
德姆斯特朗的长袍颜色是什么？,血红色
在日本最受推崇的魔杖是由什么木材制成的？,樱桃木
霍格沃滋的幽灵教授宾斯教授是在哪里去世的？, 休息室的沙发上
哈利曾在魔法部把诱饵炸弹放在哪了引起了骚乱？,麻瓜出身登记委员会主任办公室
赫敏提问密室时，宾斯教授在讲解哪年的国际巫师大会？,一二八九年
古灵阁地下瀑布有什么作用？,洗去所有的魔咒和魔法伪装
斯内普教授的第一节魔药课指导调制的药剂是？,治疗疥疮
斯内普教授曾经布置的关于狼人的论文有多长？,至少两张羊皮纸
哈利·波特的室友西莫喜欢哪项运动？,足球
冈特的戒指是在哪被摧毁的？,校长室
哈利·波特在四年级圣诞收到了教父小天狼星·布莱克送的什么礼物？,一把轻便的削笔刀
哈利·波特第一次喝福灵剂时喝了多少？,一小口
哈利吹飞姑妈离开家后在灌木丛里看到了什么？,小天狼星
卢娜·洛夫古德的妈妈去世的原因是？,做实验遇到了意外
谁曾用西弗勒斯·斯内普的魔咒倒挂金钟来对付他自己？,詹姆斯·波特
罗恩在火车上第一次给哈利·波特展示的咒语是？,雏菊、甜奶油和阳光
第一任英国魔法部部长是谁？,尤里克·甘普
以下哪种生物不曾生活在禁林中？,驺吾
哈利·波特第一次到女贞路和最后一次离开是乘搭什么交通工具？,小天狼星·布莱克的摩托车
霍格沃茨的图书管理员叫什么？,平斯夫人
